fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi,pesticide_mass,population
51091,525.8,134.4200619587947,,17.901163960379396,29.822372072040253,,9.131338987192404,5.767699511626214,40.39309708817822,27.803400262631644,,5.0592975116944015,,18.668440836763804,46147.0,38.78292461398728,,34.46790176647997,0.0,17.120799273387828,7.765667574931879,7.901907356948229,4.087193460490464,4.924119241192412,,,5886.2,2202.0
51093,,134.4200619587947,142.0,21.51,38.7,10.91,7.8,5.767699511626214,40.39309708817822,27.803400262631644,20.4,5.0592975116944015,100.1,22.87,71376.0,18.9613819494974,4213.0,4.465551460164446,1.9,15.5604063923249,7.985016304201363,7.219662058371735,29.776053035815348,5.733178452563813,,,132225.15,37107.0
51095,445.4,134.4200619587947,135.9,23.03,29.822372072040253,13.66,15.0,7.92,40.39309708817822,27.803400262631644,17.0,4.78,124.4,16.53,83048.0,25.35511363636364,4191.0,8.677938784342402,2.5,10.094433922558922,3.3249158249158253,5.330650252525253,25.190709175084177,6.938521255561245,481.3762626262626,,3775.7,76032.0
51097,485.4,183.32,111.2,17.901163960379396,42.0,,9.131338987192404,5.767699511626214,82.7,54.26,,5.0592975116944015,95.5,18.668440836763804,54516.0,23.52018257024676,4177.0,4.982001439884809,0.9,17.016117529596347,7.188703465982028,5.12052488945942,33.989445157609474,4.213391000354084,,,54128.65,7011.0
51099,,134.4200619587947,112.1,17.901163960379396,38.6,16.57,9.131338987192404,5.767699511626214,75.4,41.25,20.9,5.0592975116944015,113.8,18.668440836763804,87321.0,13.148918625135874,4159.0,2.12432157394844,1.4,11.645863787998053,4.973949548333896,4.63660556992391,27.35484838262304,5.399729625412824,,,17040.1,26679.0
51101,516.1,173.63,120.1,17.901163960379396,58.3,16.03,9.131338987192404,5.767699511626214,59.1,27.803400262631644,,5.0592975116944015,128.0,18.668440836763804,68720.0,16.196644097733294,4187.0,2.8616253529965485,0.7,12.781866352664114,4.050632911392405,5.175154548130704,22.96732410950839,5.6661918325415535,,13.0,36375.95,16985.0
51103,,179.29,115.0,17.901163960379396,29.822372072040253,11.81,9.131338987192404,5.767699511626214,70.0,46.51,,5.0592975116944015,105.0,18.668440836763804,50739.0,36.13138686131387,4162.0,2.1332631024493023,1.8,21.5983529852143,7.935616694740783,9.395470709339325,32.74377690436084,6.040463408586172,327.53134942915966,,18402.95,10686.0
51105,,188.36,,24.14,29.822372072040253,18.07,10.5,5.767699511626214,62.5,57.12,,5.0592975116944015,,18.668440836763804,,21.679382877376387,,0.0,1.3,36.40349028369093,15.83695148168444,11.613202377439617,6.97635206339839,4.292029225635494,295.0722927117144,,13750.9,23723.0
51107,,134.4200619587947,129.4,18.02,29.822372072040253,10.86,10.7,6.3,40.39309708817822,27.803400262631644,14.8,4.72,104.0,18.48,136268.0,9.38018119374704,,0.994841680248214,9.7,6.306993131217433,3.917722643297016,5.506128612032212,44.89948484130744,7.920259055144762,151.73495973472288,41.0,52672.95,405312.0
51109,466.8,180.05,123.5,24.85,45.5,22.31,16.1,5.767699511626214,80.2,47.78,13.2,5.0592975116944015,92.5,19.4,59343.0,19.8695913133628,4202.0,0.5459536090248243,1.4,19.643149451628744,8.438369618595514,8.78758116440225,21.91848092977574,4.674307518231402,,,13881.4,36654.0
51111,455.8,175.17,142.1,17.901163960379396,37.5,,9.131338987192404,5.767699511626214,80.0,42.78,,5.0592975116944015,116.7,18.668440836763804,,21.92126240442492,4323.0,0.0232306024469567,2.2,27.13518789653489,13.24223198308118,7.255571823653815,40.95493736782171,5.227167834162079,,,47189.4,12294.0
51113,431.4,181.05,,17.901163960379396,45.8,18.4,9.131338987192404,5.767699511626214,75.6,42.07,,5.0592975116944015,,18.668440836763804,54197.0,23.22077528770442,4119.0,0.2930568079350766,1.0,18.36008479709267,8.320714718352514,7.344033918837069,15.271047849788008,4.796471065904635,,43.0,51999.85,13208.0
51115,487.9,134.4200619587947,119.6,17.901163960379396,48.7,,9.131338987192404,5.767699511626214,62.6,40.05,,5.0592975116944015,133.9,18.668440836763804,67009.0,30.068493150684933,4172.0,0.0,0.7,14.406392694063928,6.335616438356165,10.799086757990867,14.39497716894977,5.346559041861983,,,8481.300000000001,8760.0
