Screening and Risk Factors, US by County (UV Only), UV Exposure Data, Ultraviolet Exposure
Area,County FIPS,Watt-Hours Per Square Meter
"Fisher, Texas","48151","5100"
"Madera, California","6039","5100"
"Runnels, Texas","48399","5099"
"Castro, Texas","48069","5098"
"Kent, Texas","48263","5098"
"San Luis Obispo, California","6079","5096"
"Concho, Texas","48095","5092"
"Hale, Texas","48189","5087"
"Hartley, Texas","48205","5085"
"Mineral, Colorado","8079","5085"
"Las Animas, Colorado","8071","5084"
"Crosby, Texas","48107","5084"
"Menard, Texas","48327","5082"
"Mineral, Nevada","32021","5081"
"Los Angeles, California","6037","5080"
"Taylor, Texas","48441","5080"
"Dolores, Colorado","8033","5078"
"San Juan, Utah","49037","5078"
"Kimble, Texas","48267","5077"
"Uvalde, Texas","48463","5075"
"Real, Texas","48385","5074"
"Jones, Texas","48253","5072"
"Merced, California","6047","5071"
"Stonewall, Texas","48433","5070"
"Orange, California","6059","5068"
"Mariposa, California","6043","5067"
"Huerfano, Colorado","8055","5066"
"Dallam, Texas","48111","5065"
"Coleman, Texas","48083","5064"
"Zavala, Texas","48507","5062"
"Dickens, Texas","48125","5061"
"McCulloch, Texas","48307","5056"
"Swisher, Texas","48437","5055"
"San Miguel, Colorado","8113","5055"
"Randall, Texas","48381","5051"
"Floyd, Texas","48153","5050"
"Potter, Texas","48375","5048"
"Callahan, Texas","48059","5047"
"Mono, California","6051","5045"
"King, Texas","48269","5044"
"Santa Barbara, California","6083","5044"
"Mason, Texas","48319","5043"
"Haskell, Texas","48207","5041"
"Motley, Texas","48345","5039"
"Shackelford, Texas","48417","5037"
"Cimarron, Oklahoma","40025","5037"
"Dimmit, Texas","48127","5036"
"Moore, Texas","48341","5034"
"Briscoe, Texas","48045","5033"
"Brown, Texas","48049","5032"
"Kerr, Texas","48265","5032"
"Kane, Utah","49025","5029"
"Iron, Utah","49021","5026"
"Lyon, Nevada","32019","5025"
"Hinsdale, Colorado","8053","5025"
"Sherman, Texas","48421","5023"
"Calaveras, California","6009","5022"
"Hall, Texas","48191","5022"
"Armstrong, Texas","48011","5022"
"San Juan, Colorado","8111","5021"
"Cottle, Texas","48101","5021"
"Bandera, Texas","48019","5020"
"Stanislaus, California","6099","5018"
"Knox, Texas","48275","5018"
"Montrose, Colorado","8085","5016"
"San Saba, Texas","48411","5014"
"Ouray, Colorado","8091","5010"
"Eastland, Texas","48133","5009"
"Throckmorton, Texas","48447","5007"
"Hutchinson, Texas","48233","5006"
"Carson, Texas","48065","5005"
"Saguache, Colorado","8109","5004"
"Stephens, Texas","48429","5003"
"Otero, Colorado","8089","5003"
"Medina, Texas","48325","5001"
"Gillespie, Texas","48171","5001"
"Foard, Texas","48155","5000"
"Llano, Texas","48299","4999"
"Donley, Texas","48129","4998"
"Childress, Texas","48075","4998"
"Tuolumne, California","6109","4997"
"Comanche, Texas","48093","4996"
"Hansford, Texas","48195","4995"
"Mills, Texas","48333","4995"
"Baca, Colorado","8009","4995"
"Amador, California","6005","4995"
"Texas, Oklahoma","40139","4989"
"Douglas, Nevada","32005","4988"
"San Benito, California","6069","4986"
"Baylor, Texas","48023","4983"
"Monterey, California","6053","4983"
"Hardeman, Texas","48197","4981"
"Ventura, California","6111","4979"
"Morton, Kansas","20129","4979"
"Collingsworth, Texas","48087","4976"
"Roberts, Texas","48393","4976"
"Gray, Texas","48179","4976"
"San Joaquin, California","6077","4976"
"Carson City, Nevada","32510","4974"
"Frio, Texas","48163","4971"
"Young, Texas","48503","4971"
"Churchill, Nevada","32001","4970"
"Kendall, Texas","48259","4969"
"Storey, Nevada","32029","4967"
"Palo Pinto, Texas","48363","4967"
"Pueblo, Colorado","8101","4966"
"Erath, Texas","48143","4965"
"Harmon, Oklahoma","40057","4965"
"Ochiltree, Texas","48357","4963"
"Wilbarger, Texas","48487","4960"
"Bent, Colorado","8011","4960"
"Stevens, Kansas","20189","4959"
"Lampasas, Texas","48281","4959"
"Sacramento, California","6067","4957"
"Hamilton, Texas","48193","4955"
"Wheeler, Texas","48483","4955"
"Stanton, Kansas","20187","4954"
"El Dorado, California","6017","4954"
"Beaver, Utah","49001","4949"
