Demographics, US by County, Population, Hispanic (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Franklin, Washington","53021","52.8"
"San Bernardino, California","6071","52.8"
"Kern, California","6029","52.8"
"Fresno, California","6019","52.7"
"Schleicher, Texas","48413","52.4"
"Garza, Texas","48169","52.0"
"Medina, Texas","48325","51.6"
"Caldwell, Texas","48055","51.5"
"Santa Fe, New Mexico","35049","51.3"
"Upton, Texas","48461","50.6"
"Gonzales, Texas","48177","50.5"
"Grant, New Mexico","35017","50.3"
"McMullen, Texas","48311","50.2"
"Refugio, Texas","48391","50.2"
"Bernalillo, New Mexico","35001","49.8"
"Socorro, New Mexico","35053","49.7"
"Finney, Kansas","20055","49.5"
"Colfax, New Mexico","35007","49.4"
"Yakima, Washington","53077","48.9"
"Los Angeles, California","6037","48.5"
"Calhoun, Texas","48057","48.4"
"Eddy, New Mexico","35015","48.4"
"Riverside, California","6065","48.4"
"Hockley, Texas","48219","47.4"
"Lynn, Texas","48305","47.4"
"Grant, Kansas","20067","47.2"
"Hansford, Texas","48195","47.2"
"Clark, Idaho","16033","46.9"
"Victoria, Texas","48469","46.5"
"Greenlee, Arizona","4011","46.4"
"De Baca, New Mexico","35011","46.1"
"Alamosa, Colorado","8003","45.9"
"Martin, Texas","48317","45.8"
"Stanislaus, California","6099","45.6"
"Colfax, Nebraska","31037","45.5"
"Texas, Oklahoma","40139","45.3"
"Quay, New Mexico","35037","45.2"
"Sterling, Texas","48431","45.2"
"Santa Barbara, California","6083","45.1"
"Dallam, Texas","48111","45.0"
"Brewster, Texas","48043","44.5"
"Rio Grande, Colorado","8105","44.5"
"Midland, Texas","48329","44.0"
"Glasscock, Texas","48173","43.8"
"Hardee, Florida","12049","43.5"
"Swisher, Texas","48437","43.5"
"Hudson, New Jersey","34017","43.2"
"Pueblo, Colorado","8101","42.9"
"Torrance, New Mexico","35057","42.8"
"Titus, Texas","48449","42.8"
"Sherman, Texas","48421","42.6"
"Harris, Texas","48201","42.6"
"Ventura, California","6111","42.4"
"Las Animas, Colorado","8071","42.1"
