Mortality, US by County, All Races, Leukemia: Total (Both Sexes), 2014 - 2018
Area,County FIPS,"Age-Adjusted Rate per 100,000",Lower CI,Upper CI,Count
"Miami, Ohio","39109","8.13","6.09","10.68","55"
"Shasta, California","6089","8.13","6.62","9.92","105"
"Alachua, Florida","12001","8.13","6.64","9.87","108"
"Defiance, Ohio","39039","8.12","4.92","12.79","20"
"Washington, Mississippi","28151","8.11","4.81","12.78","19"
"Twin Falls, Idaho","16083","8.11","5.73","11.19","38"
"Lawrence, Pennsylvania","42073","8.11","5.93","10.92","53"
"Bay, Michigan","26017","8.10","6.04","10.69","56"
"St. Mary's, Maryland","24037","8.09","5.86","10.89","45"
"Jefferson, Arkansas","5069","8.08","5.50","11.48","33"
"Wood, Wisconsin","55141","8.08","5.68","11.22","42"
"Clark, Kentucky","21049","8.06","4.81","12.86","19"
"Addison, Vermont","50001","8.05","4.87","12.80","20"
"Jackson, Michigan","26075","8.05","6.35","10.10","80"
"Garfield, Oklahoma","40047","8.04","5.47","11.49","32"
"Butte, California","6007","8.04","6.59","9.73","115"
"Sanilac, Michigan","26151","8.03","5.14","12.22","25"
"Putnam, New York","36079","8.03","5.85","10.81","47"
"Callaway, Missouri","29027","8.02","4.87","12.52","20"
"Scioto, Ohio","39145","8.01","5.66","11.08","39"
"Johnson, Missouri","29101","8.01","4.86","12.44","20"
"Miami, Indiana","18103","8.01","4.63","13.03","17"
"Whiteside, Illinois","17195","8.00","5.40","11.55","33"
"Camden, Georgia","13039","7.99","4.55","12.86","17"
"Cape May, New Jersey","34009","7.98","5.97","10.57","63"
"Beauregard, Louisiana","22011","7.98","4.60","12.96","17"
"Allen, Ohio","39003","7.98","5.94","10.55","53"
"Sussex, New Jersey","34037","7.98","6.03","10.37","61"
"Reno, Kansas","20155","7.97","5.54","11.22","37"
"Adams, Mississippi","28001","7.97","4.59","13.12","17"
"Leavenworth, Kansas","20103","7.97","5.45","11.27","33"
"Laurens, South Carolina","45059","7.97","5.55","11.20","36"
"Natrona, Wyoming","56025","7.96","5.49","11.18","35"
"Montgomery, Indiana","18107","7.95","4.82","12.54","20"
"Upshur, Texas","48459","7.95","4.87","12.40","21"
"Hancock, Indiana","18059","7.94","5.40","11.29","32"
"Tift, Georgia","13277","7.94","4.66","12.70","18"
"Okeechobee, Florida","12093","7.94","5.02","12.16","23"
"Raleigh, West Virginia","54081","7.93","5.73","10.80","44"
"Hopkins, Kentucky","21107","7.93","4.90","12.23","22"
"Pennington, South Dakota","46103","7.93","5.86","10.51","51"
"Hardin, Kentucky","21093","7.92","5.74","10.67","45"
"James City, Virginia","51095","7.92","5.67","10.89","47"
"Spalding, Georgia","13255","7.92","5.30","11.43","30"
"St. Croix, Wisconsin","55109","7.92","5.48","11.09","35"
"Crittenden, Arkansas","5035","7.92","4.73","12.41","19"
"Calvert, Maryland","24009","7.91","5.58","10.91","39"
"Brunswick, North Carolina","37019","7.91","6.16","10.11","83"
"La Crosse, Wisconsin","55063","7.91","5.91","10.41","55"
"Belmont, Ohio","39013","7.90","5.53","11.07","39"
"Fayette, Texas","48149","7.90","4.73","13.14","19"
"Orange, Texas","48361","7.89","5.57","10.90","39"
"Dauphin, Pennsylvania","42043","7.89","6.58","9.39","133"
"Kanawha, West Virginia","54039","7.88","6.38","9.67","103"
"Pittsburg, Oklahoma","40121","7.88","5.00","11.99","24"
"Gila, Arizona","4007","7.87","4.82","12.18","30"
"Chippewa, Wisconsin","55017","7.87","5.41","11.17","34"
"Effingham, Illinois","17049","7.86","4.50","12.89","17"
"Kay, Oklahoma","40071","7.85","4.87","12.09","23"
"Herkimer, New York","36043","7.84","5.44","11.08","36"
"Cheboygan, Michigan","26031","7.84","4.70","13.16","19"
"Levy, Florida","12075","7.83","4.79","12.33","23"
"Douglas, Washington","53017","7.81","4.55","12.54","18"
"Obion, Tennessee","47131","7.81","4.50","12.92","17"
"Bulloch, Georgia","13031","7.79","4.95","11.64","24"
"Wyandotte, Kansas","20209","7.79","5.90","10.07","60"
"Barrow, Georgia","13013","7.79","5.08","11.39","27"
"St. Clair, Michigan","26147","7.79","6.15","9.77","81"
"Sumner, Tennessee","47165","7.77","6.09","9.78","75"
"Kandiyohi, Minnesota","27067","7.76","4.78","12.05","22"
"Marion, Illinois","17121","7.76","4.60","12.40","20"
"Washington, Pennsylvania","42125","7.75","6.38","9.37","119"
"Douglas, Kansas","20045","7.75","5.43","10.68","38"
"Bennington, Vermont","50003","7.75","4.93","12.04","24"
"Pope, Arkansas","5115","7.75","5.13","11.29","28"
"Platte, Nebraska","31141","7.75","4.55","12.58","18"
"Fond du Lac, Wisconsin","55039","7.74","5.78","10.21","55"
"Preston, West Virginia","54077","7.74","4.46","12.73","17"
"Greene, Indiana","18055","7.73","4.38","12.85","16"
"Cleveland, North Carolina","37045","7.73","5.60","10.44","46"
"Kankakee, Illinois","17091","7.73","5.72","10.25","51"
"Comal, Texas","48091","7.72","5.89","9.97","62"
"Genesee, New York","36037","7.72","5.17","11.21","31"
"Van Zandt, Texas","48467","7.71","5.12","11.30","29"
"Shenandoah, Virginia","51171","7.71","4.85","11.85","24"
"DeKalb, Indiana","18033","7.70","4.66","12.08","20"
"McCracken, Kentucky","21145","7.70","5.30","10.93","35"
"Pike, Kentucky","21195","7.70","5.18","11.12","31"
"Vanderburgh, Indiana","18163","7.69","6.12","9.57","85"
"Elmore, Alabama","1051","7.69","5.27","10.85","34"
"Wharton, Texas","48481","7.69","4.56","12.21","19"
"Yakima, Washington","53077","7.68","6.20","9.40","96"
"Franklin, Kentucky","21073","7.68","4.87","11.63","24"
"Hill, Texas","48217","7.67","4.48","12.47","19"
"Green, Wisconsin","55045","7.67","4.42","12.52","18"
"Racine, Wisconsin","55101","7.67","6.12","9.50","87"
"Burke, North Carolina","37023","7.67","5.68","10.23","50"
"Columbia, Florida","12023","7.66","5.31","10.78","35"
"Stephenson, Illinois","17177","7.65","4.86","11.65","26"
"Brevard, Florida","12009","7.65","6.86","8.52","373"
"Emmet, Michigan","26047","7.65","4.70","12.20","21"
"St. Charles, Louisiana","22089","7.64","4.61","11.91","20"
"Rutland, Vermont","50021","7.64","5.15","11.08","32"
"Chemung, New York","36015","7.63","5.52","10.35","45"
"St. John the Baptist, Louisiana","22095","7.63","4.28","12.54","16"
"Johnson, Texas","48251","7.63","5.85","9.79","64"
"Steele, Minnesota","27147","7.62","4.54","12.20","19"
"Clark, Ohio","39023","7.62","5.87","9.77","69"
"Sioux, Iowa","19167","7.61","4.44","12.37","18"
"Hancock, Ohio","39063","7.60","5.28","10.64","36"
"Indiana, Pennsylvania","42063","7.60","5.45","10.40","44"
"Cascade, Montana","30013","7.59","5.44","10.40","42"
"Spokane, Washington","53063","7.59","6.60","8.69","221"
"Fremont, Wyoming","56013","7.58","4.39","12.27","18"
"Douglas, Oregon","41019","7.58","5.84","9.79","71"
"Ontario, New York","36069","7.58","5.75","9.90","59"
"Alpena, Michigan","26007","7.57","4.47","12.57","18"
"Hancock, Mississippi","28045","7.57","4.61","11.83","21"
"Windham, Vermont","50025","7.57","4.90","11.50","26"
"Floyd, Indiana","18043","7.57","5.21","10.68","34"
"Guernsey, Ohio","39059","7.57","4.72","11.77","22"
"Polk, Iowa","19153","7.56","6.46","8.78","177"
"Union, Arkansas","5139","7.56","4.52","12.02","19"
"Kootenai, Idaho","16055","7.56","5.85","9.64","69"
"Putnam, Tennessee","47141","7.56","5.14","10.76","33"
"Yuba, California","6115","7.55","4.84","11.19","25"
"Yadkin, North Carolina","37197","7.55","4.47","12.14","19"
"Bowie, Texas","48037","7.54","5.41","10.27","42"
"Portsmouth, Virginia","51740","7.54","5.37","10.32","41"
"Ellis, Texas","48139","7.54","5.70","9.78","59"
"Acadia, Louisiana","22001","7.53","4.90","11.11","26"
"Watauga, North Carolina","37189","7.53","4.55","11.87","21"
"Lynchburg, Virginia","51680","7.53","5.11","10.75","33"
"Lake, Ohio","39085","7.52","6.24","9.03","127"
"Harrison, Mississippi","28047","7.52","5.96","9.38","82"
"Grant, Wisconsin","55043","7.52","4.73","11.45","24"
"Tippecanoe, Indiana","18157","7.52","5.69","9.73","59"
"Roscommon, Michigan","26143","7.52","4.14","13.65","17"
"Charlevoix, Michigan","26029","7.51","4.36","12.75","17"
"Catoosa, Georgia","13047","7.51","5.09","10.77","32"
"Pickens, South Carolina","45077","7.51","5.61","9.89","54"
"Putnam, Florida","12107","7.51","5.37","10.37","43"
"McMinn, Tennessee","47107","7.50","4.89","11.15","27"
"Yamhill, Oregon","41071","7.49","5.48","10.04","48"
"Muskingum, Ohio","39119","7.49","5.27","10.37","39"
"Carroll, Tennessee","47017","7.49","4.26","12.63","16"
"Catawba, North Carolina","37035","7.48","5.83","9.49","72"
"Morgan, Indiana","18109","7.48","4.97","10.86","29"
"Madera, California","6039","7.48","5.66","9.69","58"
"Bullitt, Kentucky","21029","7.48","5.01","10.76","31"
"LaPorte, Indiana","18091","7.47","5.47","9.97","49"
"Preble, Ohio","39135","7.46","4.43","11.91","19"
"Laurel, Kentucky","21125","7.45","4.72","11.20","24"
"Lewis and Clark, Montana","30049","7.45","5.04","10.69","32"
"Ada, Idaho","16001","7.44","6.31","8.70","161"
"Iroquois, Illinois","17075","7.44","4.31","12.44","17"
"Putnam, Indiana","18133","7.44","4.33","12.11","17"
"Franklin, Maine","23007","7.44","4.08","12.79","16"
"Susquehanna, Pennsylvania","42115","7.44","4.84","11.31","26"
"Jackson, Indiana","18071","7.43","4.52","11.62","20"
"Ingham, Michigan","26065","7.43","6.03","9.06","102"
"Cass, Minnesota","27021","7.43","4.25","12.57","17"
"Madison, Indiana","18095","7.42","5.62","9.65","59"
"Lancaster, Pennsylvania","42071","7.42","6.55","8.38","273"
"Columbiana, Ohio","39029","7.42","5.53","9.82","54"
"Washington, Ohio","39167","7.42","5.00","10.74","32"
"Mesa, Colorado","8077","7.42","5.81","9.38","75"
"Huntingdon, Pennsylvania","42061","7.41","4.68","11.36","24"
"Cooke, Texas","48097","7.41","4.46","11.77","20"
"Ulster, New York","36111","7.41","5.90","9.24","89"
"Granville, North Carolina","37077","7.41","4.75","11.09","25"
"Sevier, Tennessee","47155","7.41","5.37","10.04","45"
"Knox, Illinois","17095","7.41","4.76","11.13","27"
"Suffolk, Virginia","51800","7.40","5.06","10.45","33"
"Dougherty, Georgia","13095","7.39","5.14","10.30","36"
"Brazoria, Texas","48039","7.39","6.07","8.90","115"
"Cortland, New York","36023","7.38","4.51","11.52","21"
"Tazewell, Virginia","51185","7.38","4.65","11.39","24"
"Montgomery, Tennessee","47125","7.38","5.42","9.76","50"
"Saline, Arkansas","5125","7.38","5.49","9.75","52"
"Indian River, Florida","12061","7.37","6.00","9.06","127"
"Citrus, Florida","12017","7.37","6.01","9.08","128"
"Lancaster, Nebraska","31109","7.37","6.05","8.90","113"
"Butler, Pennsylvania","42019","7.37","5.91","9.10","93"
"Ouachita, Louisiana","22073","7.37","5.64","9.49","62"
"Westmoreland, Pennsylvania","42129","7.37","6.38","8.49","213"
"Skagit, Washington","53057","7.36","5.58","9.57","61"
"Muscatine, Iowa","19139","7.36","4.42","11.63","20"
"Sedgwick, Kansas","20173","7.36","6.35","8.48","198"
"Rockingham, North Carolina","37157","7.36","5.28","10.05","45"
"Hendricks, Indiana","18063","7.35","5.54","9.54","57"
"Madison, Illinois","17119","7.35","6.11","8.79","127"
"Licking, Ohio","39089","7.35","5.74","9.30","72"
"Rutherford, Tennessee","47149","7.35","5.84","9.11","87"
"Livingston, Louisiana","22063","7.35","5.35","9.83","48"
"Allegany, Maryland","24001","7.34","5.13","10.29","37"
"Elkhart, Indiana","18039","7.34","5.78","9.20","78"
"Chenango, New York","36017","7.34","4.65","11.18","25"
"Morgan, Alabama","1103","7.34","5.48","9.65","54"
"Thomas, Georgia","13275","7.33","4.36","11.61","19"
"Lyon, Nevada","32019","7.33","4.78","10.92","28"
"Windham, Connecticut","9015","7.33","5.43","9.72","52"
"Ward, North Dakota","38101","7.32","4.65","10.96","24"
"Oconee, South Carolina","45073","7.32","5.14","10.23","39"
"Rowan, North Carolina","37159","7.32","5.63","9.40","65"
"Stearns, Minnesota","27145","7.31","5.56","9.44","61"
"Otter Tail, Minnesota","27111","7.31","5.20","10.26","40"
"McLennan, Texas","48309","7.29","5.91","8.91","99"
"Carter, Tennessee","47019","7.29","4.93","10.58","32"
"Pearl River, Mississippi","28109","7.29","4.71","10.89","26"
"Garland, Arkansas","5051","7.28","5.51","9.54","60"
"Kalamazoo, Michigan","26077","7.27","5.89","8.88","101"
"Johnson, Indiana","18081","7.25","5.49","9.41","58"
"Burleigh, North Dakota","38015","7.25","5.17","9.93","42"
"Jessamine, Kentucky","21113","7.25","4.39","11.28","20"
"Craven, North Carolina","37049","7.24","5.36","9.64","50"
"Georgetown, South Carolina","45043","7.24","4.92","10.46","36"
"Montgomery, New York","36057","7.24","4.52","11.10","24"
"Anderson, South Carolina","45007","7.24","5.81","8.94","91"
"Cowlitz, Washington","53015","7.23","5.30","9.68","49"
"Erie, Ohio","39043","7.23","5.07","10.11","39"
"Parker, Texas","48367","7.23","5.33","9.59","50"
"Mobile, Alabama","1097","7.22","6.16","8.41","171"
"Tulsa, Oklahoma","40143","7.22","6.32","8.20","242"
