fips,total_beds,hospital_beds_per_100000
18029,96,193.50157220027413
18031,25,94.03091736562982
18033,72,166.6936772162156
18035,815,712.0329195097021
18037,114,268.0208774157145
18039,358,174.4775421085465
18041,198,858.3318883301544
18043,509,653.5779863634613
18049,25,124.57023269719467
18051,25,74.15976980807451
18053,444,672.1671334493983
18055,25,77.70249269596567
18057,635,192.15929551678747
18059,68,88.75662411569687
18061,25,62.24479633502639
18063,333,199.63310672277976
18065,90,186.88483741019144
18067,246,298.23242732099993
18069,72,198.06882891804904
18071,84,190.5755836377249
18073,46,137.58861005593275
18075,25,120.7904527226168
18077,210,652.8429757204589
18079,17,61.50729042295307
18081,267,170.99162333171094
18083,144,390.95376428745965
18085,104,131.38612360402243
18087,50,126.4638187014695
18089,2468,507.83669387612326
18091,680,618.0357370076164
18093,50,109.7646645591851
18095,567,437.8851767758677
18097,5718,597.2818349233341
18099,221,476.95096685082876
18103,25,70.05941038000225
18105,407,276.27309629508954
18107,103,268.96461679070376
18109,207,295.1198300566003
18113,62,130.1427371956339
18117,24,122.74959083469722
18123,25,130.95175737258396
18127,317,187.04051167675624
18131,24,192.2768787053357
18133,25,66.8109783799674
18135,25,101.23916740908723
18137,50,175.703693291633
18139,25,150.3126503126503
18141,808,298.2859632089367
18143,25,105.10826150935463
18145,40,89.76862137839719
18149,53,230.47486519394678
18151,25,72.27313463039519
18153,25,121.08296604833633
18157,1102,570.0923942845909
18159,25,164.97294443711232
18163,2033,1119.814043668892
18165,25,161.4465611882467
18167,648,603.88611900657
18169,16,51.28533880376948
18171,16,194.67088453583162
18173,332,530.2836698185536
18175,25,89.47104716913607
18177,251,379.291586073501
18179,79,282.0421278114959
18181,50,206.9279476886148
18183,30,88.49818578719136
19001,25,354.7105561861521
19003,22,605.5601431323975
19005,25,181.6728435433471
19007,45,361.0977371208474
19009,25,452.24312590448625
19011,25,97.81673057359731
19013,687,521.1929020658054
19015,42,159.20548879875668
19017,50,199.7443272611058
19019,120,567.6174258549738
19021,35,175.43859649122805
19025,25,258.9063794531897
19027,116,575.682382133995
19029,33,254.0415704387991
19033,586,1373.2658417697787
19035,83,735.7503767396507
19037,18,150.37593984962405
19039,25,266.43930512629225
19041,99,613.4589168422357
19043,50,285.27414845666686
19045,265,567.0389866050414
19047,25,147.07612660312978
19049,120,132.71693689309652
19051,25,278.4894730979169
19053,25,316.13555892766817
19055,25,146.13900742386159
19057,213,542.993346419558
19059,49,283.8933951332561
19061,470,483.5739199325054
19063,25,268.18279339197596
19065,50,255.0499897980004
19067,25,159.1039266849106
19069,25,247.74551580616392
19071,25,362.58158085569255
19073,25,280.1748290933542
19075,80,652.4221171097699
19077,50,467.2023920762474
19079,25,167.7289500167729
19081,25,233.4485012606219
19083,58,342.7085795320255
19085,25,178.0246386099836
19087,152,764.2415405500527
19089,19,206.49929355504838
19091,49,514.814036562303
19093,25,364.3252696006995
19095,25,154.75085112968122
19097,25,129.21232168699606
19099,68,183.6249729963275
19101,25,137.71828347931472
19103,1750,1160.3312579979977
19105,60,291.6160388821385
19107,25,245.99035717799862
19109,25,168.19160387513455
19111,121,356.44847699287106
19113,1018,451.23913457830423
19117,25,292.192613370734
19119,50,423.7288135593221
19121,25,154.81793410948723
19123,33,147.64440069795535
19125,50,150.63416985508994
