latitude,longitude,oil_barrels_spilled,spill_count
29.066379,-97.369206,0.48,1
29.066613,-97.368731,0.63,1
29.069927,-95.716402,0.24,1
29.074975,-95.732612,11.4,1
29.084431,-95.403144,250.0,1
29.08966,-96.62664,34.6,1
29.089664,-96.626644,2.48,1
29.1049,-90.1919,1.0,1
29.105684,-90.192503,0.02,1
29.10788,-90.16212,0.01,1
29.11242,-98.11987,2.0,1
29.119939,-90.132573,0.1,1
29.1425929,-95.9728079,315.0,1
29.145153,-95.67591,3.0,1
29.1452,-95.68005,10.0,1
29.145494,-95.674314,8.0,1
29.146389,-96.0775,150.0,1
29.1514,-89.5806,5.0,1
29.193322,-96.985528,0.2,1
29.193445,-96.984823,210.0,1
29.19462,-96.98528,10.0,1
29.206868,-94.561023,5.0,1
29.21194,-98.40472,168.0,1
29.214284,-97.518923,0.48,1
29.22007944,-89.3959391,1.0,1
29.238862,-89.384553,2.0,1
29.245664,-88.982508,220.0,1
29.253809,-89.967529,0.87,1
29.2564,-89.1883,400.0,1
29.25694,-89.96583,10.0,1
29.26536,-88.77223,0.09,1
29.274667,-89.952333,204.0,1
29.286841,-89.929906,2.0,1
29.30541,-97.400301,4.0,1
29.310878,-89.296158,0.05,1
29.31589,-89.28764,125.0,1
29.317764,-96.02161,1.4,1
29.3191,-89.8076,160.0,1
29.337541,-96.678846,17.0,1
29.345095,-94.935211,100.0,1
29.34525,-94.935183,62.2,4
29.345358,-94.93561,0.5,1
29.345464,-94.935654,6.0,1
29.34551,-94.93573,0.2,1
29.34578,-94.936904,2490.0,1
29.3475,-94.94167,70.0,1
29.348547,-94.939136,1.0,1
29.348769,-94.93915,1.0,1
29.349,-94.939333,0.67,1
29.34921,-94.93901,13.0,1
29.358902,-95.85094,0.0,1
29.36555,-94.93971,0.47,1
29.36557,-94.93976,10.0,1
29.36586,-89.34615,3.0,1
29.366003,-94.929943,0.2,1
29.368056,-97.204444,6.0,1
29.3736,-89.5514,0.17,1
29.374592,-89.552288,0.12,1
29.3753,-89.3561,79.0,1
29.3786,-95.1101,0.44,1
29.37889,-94.93121,25.0,1
29.38357,-94.92492,9.76,1
29.39972,-94.96417,0.47,1
29.4009,-94.95689,482.0,1
29.419652,-95.308771,3.0,1
29.419868,-89.515921,0.07,1
29.422222,-89.99,0.0,1
29.422303,-95.140306,0.12,1
29.4305,-95.1201,41.4,3
29.4313,-95.65,7.0,1
29.43573,-95.121835,52.260000000000005,6
29.4388,-96.804483,40.0,1
29.441693,-98.369949,1025.0,1
29.44778,-90.26972,7.6,1
29.461595,-95.245072,0.01,1
29.466936,-89.514842,2.0,1
29.46867,-90.25267,0.04,1
29.47,-90.25444,202.0,1
29.470028,-96.626722,0.5,1
29.47097,-95.632929,0.24,1
29.473497,-96.621621,0.7,1
29.4745,-95.1642,0.12,1
29.485,-89.4441666,0.02,1
29.51419,-93.5739,0.2,1
29.52032,-95.107733,0.1,1
29.52107,-93.5745,0.16,1
29.52225,-95.108347,1.0,1
29.526883,-95.104507,1.5,1
29.54619,-95.213783,4.46,1
29.56687,-98.12972,15.0,1
29.57863,-95.017273,2.3,1
29.579031,-96.076544,0.36,1
29.605714,-92.901848,0.02,1
29.610094,-95.181228,1.0,1
29.614125,-95.184793,3.0,1
29.614404,-95.182757,0.2,1
29.615889,-96.344667,9.0,1
29.617889,-96.350778,1.75,1
29.6218722,-90.68983889,0.36,1
29.62333683,-95.05727158,85.3,1
29.623347,-95.04155,0.11,1
29.62478,-95.09823,987.52,1
29.630232,-95.058734,33.8,1
29.630833,-95.119722,1.5,1
29.631459,-91.532241,4.0,1
29.633617,-90.1741,24763.0,1
29.646875,-96.518653,80.0,1
29.66904,-95.05733,3.0,1
