fips,pesticide_mass
17001,438739.45
17003,86448.55
17005,207244.2
17007,123035.2
17009,88094.70000000001
17011,578061.6499999999
17013,77822.95
17015,285167.35000000003
17017,238371.65
17019,626241.75
17021,576241.65
17023,349992.6
17025,369892.35000000003
17027,459817.64999999997
17029,342068.2
17031,10836.800000000001
17033,300936.35
17035,213568.5
17037,423192.8
17039,296524.15
17041,379654.35
17043,2711.5499999999997
17045,482658.5
17047,86352.2
17049,386458.75
17051,450107.95
17053,287520.65
17055,118559.75
17057,366817.65
17059,147200.3
17061,360627.6
17063,265542.75
17065,137364.3
17067,452030.85
17069,7088.1
17071,206406.55
17073,600073.6
17075,707875.0499999999
17077,347315.05
17079,328215.35
17081,163735.25
17083,216787.35
17085,235026.44999999998
17087,64316.75
17089,178557.05
17091,326231.95
17093,150701.1
17095,439584.75000000006
17097,21656.5
17099,633278.1
17101,323517.85
17103,543845.5499999999
17105,638758.3
17107,570788.7
17109,343526.75
17111,203750.55
17113,995343.45
17115,448843.45
17117,502247.9
17119,407372.65
17121,281112.1
17123,308234.9
17125,442496.25
17127,73624.25
17129,225414.05
17131,330024.60000000003
17133,318310.8
17135,573638.15
17137,384481.45
17139,322057.35000000003
17141,456855.3
17143,354487.15
17145,321101.2
17147,281104.1
17149,457198.64999999997
17151,14373.2
17153,176444.55000000002
17155,65569.2
17157,420574.65
17159,242722.65
17161,176971.0
17163,492595.7
17165,99637.45
17167,743018.05
17169,178094.95
17171,186546.9
17173,504092.39999999997
17175,289855.95
17177,366090.05
17179,481844.5
17181,168532.6
17183,481626.19999999995
17185,96982.55
17187,386866.2
17189,699628.8
17191,263829.9
17193,220922.0
17195,484324.64999999997
17197,229986.5
17199,124626.85
17201,211515.05
17203,424911.0
18001,186095.1
18003,236516.75000000003
18005,164854.4
18007,332282.9
18009,106944.0
18011,263344.14999999997
18013,3963.9
18015,253735.80000000002
18017,208381.35
18019,93279.75
18021,196106.4
18023,301644.75
18025,9598.1
18027,221919.55000000002
18029,22756.5
18031,211445.9
18033,124481.0
18035,195737.9
18037,146781.55
18039,149889.55
18041,86308.55
18043,15610.650000000001
18045,264500.55
18047,132223.6
18049,229319.3
18051,254031.85
18053,202828.4
18055,128845.95
18057,144244.75
18059,198154.84999999998
18061,104432.95
18063,172893.95
18065,182086.8
18067,169973.55000000002
18069,177899.75
18071,205057.2
18073,334969.0
18075,222833.69999999998
18077,78543.2
18079,130003.5
18081,147447.55000000002
18083,366571.30000000005
18085,245398.15
18087,123776.5
18089,136396.75
18091,303509.05
18093,81030.15
18095,240068.69999999998
18097,17215.5
18099,191638.0
18101,37578.05
18103,180462.2
18105,16743.75
18107,371591.10000000003
18109,125567.15
18111,214992.6
18113,164775.95
18115,10162.65
18117,91693.70000000001
18119,80792.7
18121,190421.15
18123,40190.100000000006
18125,69478.85
18127,146351.65
18129,215479.6
18131,255655.6
18133,184963.1
18135,278286.19999999995
18137,183470.55000000002
18139,239050.7
18141,149432.69999999998
18143,67696.3
18145,259205.8
18147,153374.7
18149,150531.65
18151,92871.59999999999
18153,171309.75
18155,29730.95
18157,278622.9
18159,198742.40000000002
18161,88469.55
18163,76763.45
18165,146006.5
18167,144580.9
18169,200313.45
18171,235503.44999999998
18173,102121.45
18175,175467.6
18177,146254.5
18179,220349.4
18181,352533.95
18183,149187.85
19001,230354.0
19003,147796.0
19005,169976.35
19007,104148.85
19009,300603.9
19011,506324.45
19013,343390.65
19015,394952.05
19017,298857.3
19019,394852.0
19021,409325.2
19023,395746.2
19025,430452.6
19027,414609.75
19029,240883.69999999998
19031,421810.1
19033,370418.7
19035,359568.89999999997
19037,332408.75
19039,87476.45
19041,360897.45
19043,321205.9
19045,486171.05
19047,493797.45
19049,346715.7
19051,131468.15
19053,144867.5
19055,407551.35
19057,230197.4
19059,212511.55000000002
19061,292155.0
19063,256772.95
19065,386740.05
19067,333852.39999999997
19069,414077.85
19071,263013.7
19073,425975.85000000003
19075,416947.05
19077,301702.1
19079,415885.39999999997
19081,412782.3
19083,436748.2
19085,433668.3
19087,318362.55
19089,322198.8
19091,274372.55
19093,314570.55
19095,339327.4
19097,255059.65000000002
19099,421774.60000000003
19101,243729.44999999998
19103,329391.2
19105,375903.8
19107,378981.3
19109,688668.35
19111,243858.84999999998
19113,372980.5
19115,267662.4
19117,98514.45
19119,394466.2
19121,249137.65000000002
19123,406970.64999999997
19125,281376.95
19127,386433.8
19129,201552.55000000002
19131,328057.60000000003
19133,371561.95
19135,109694.1
19137,211956.4
19139,243109.75
19141,362964.8
19143,275646.2
19145,281602.3
19147,393907.25
19149,548188.75
19151,394655.15
19153,228272.0
19155,506970.7
19157,362974.1
19159,194801.5
19161,435108.2
19163,276109.75
19165,444089.9
19167,557381.3
19169,389172.9
19171,459792.55
19173,191810.6
19175,238081.9
19177,162755.95
19179,209847.0
19181,251601.2
19183,395668.95
19185,239221.9
19187,535593.9500000001
19189,276360.1
19191,350007.2
19193,490960.60000000003
19195,266862.9
19197,413531.35000000003
20001,133434.4
20003,355418.7
20005,336840.05
20007,120929.59999999999
20009,450852.45
20011,94786.8
20013,561313.4
20015,334817.55
20017,85169.95
20019,27974.7
20021,313229.4
20023,356998.2
20025,107980.59999999999
20027,399166.9
20029,305010.95
20031,225416.65
20033,91616.1
20035,271981.55
20037,257043.9
20039,274836.25
20041,350815.1
20043,326817.9
20045,198412.30000000002
20047,246387.55
20049,43186.15
20051,341485.60000000003
20053,176556.4
20055,1064873.55
20057,669092.95
20059,274127.35
20061,71149.1
20063,311575.8
20065,275257.85000000003
20067,471569.2
20069,705123.0
20071,422394.85000000003
20073,84098.05
20075,358432.1
20077,137830.95
20079,282277.2
20081,614750.25
20083,306116.55000000005
20085,228064.80000000002
20087,221397.25
20089,467213.74999999994
20091,63029.35
20093,500775.95
20095,128263.75
20097,196160.59999999998
20099,261688.75
20101,288978.25
20103,140380.2
20105,205622.4
20107,175774.85
20109,319115.05
20111,280371.65
20113,433315.4
20115,390452.65
20117,708633.15
20119,517550.85
20121,201923.75
20123,430776.05
20125,236480.35
20127,161864.9
20129,306914.85000000003
20131,572351.2000000001
20133,195474.9
20135,359151.65
20137,339831.55
20139,302421.4
20141,311155.6
20143,302365.35
20145,323410.45
20147,387375.8
20149,229384.85
20151,302826.95
20153,406831.45
20155,346294.65
20157,449226.85
20159,438101.75
20161,150291.85
20163,430772.8
20165,366950.55
20167,259380.25
20169,211135.5
20171,416390.35000000003
20173,286117.65
20175,435265.60000000003
20177,166542.25
20179,471468.35
20181,544669.7
20183,545943.0
20185,311338.35
20187,529691.7
20189,671765.7
20191,490847.5
20193,705113.75
20195,280140.25
20197,118800.75
