fips,total_hospitals
40123,5
40125,2
40127,1
40129,1
40131,2
40133,1
40135,1
40137,2
40139,1
40143,27
40145,1
40147,1
40149,1
40151,1
40153,2
41001,1
41003,1
41005,4
41007,3
41011,4
41013,2
41015,2
41017,2
41019,3
41023,1
41025,1
41027,1
41029,3
41031,1
41033,1
41035,1
41037,1
41039,6
41041,2
41043,2
41045,1
41047,4
41049,1
41051,11
41053,1
41057,1
41059,2
41061,1
41063,1
41065,1
41067,5
41071,2
42001,1
42003,34
42005,1
42007,2
42009,1
42011,7
42013,5
42015,3
42017,11
42019,3
42021,4
42025,3
42027,3
42029,11
42031,2
42033,2
42035,2
42037,2
42039,2
42041,6
42043,8
42045,8
42047,1
42049,10
42051,2
42055,3
42057,1
42059,1
42061,1
42063,1
42065,2
42069,6
42071,6
42073,2
42075,3
42077,10
42079,8
42081,4
42083,2
42085,5
42087,1
42089,2
42091,15
42093,4
42095,3
42097,2
42101,35
42105,1
42107,4
42111,3
42115,3
42117,1
42119,1
42121,1
42123,2
42125,4
42127,2
42129,6
42131,1
42133,8
44003,1
44005,1
44007,15
44009,2
45001,1
45003,1
45005,1
45007,4
45013,4
45015,1
45019,13
45021,1
45023,1
45025,1
45027,2
45029,1
45031,2
45033,1
45035,2
45037,1
45039,1
45041,6
45043,3
45045,13
45047,2
45049,1
45051,6
45053,1
45055,2
45057,2
45059,1
45061,1
45063,3
45067,1
45069,1
45071,1
45073,1
45075,2
45077,2
45079,16
45083,6
45085,2
45087,1
45089,1
45091,2
46003,1
46005,1
46007,1
46009,3
46011,1
46013,3
46015,1
46023,2
46027,1
46029,1
46031,1
46033,1
46035,2
46037,1
46039,1
46043,1
46045,1
46047,3
46049,1
46051,1
46053,2
46055,1
46059,1
46065,1
46067,2
46073,1
46077,1
46079,2
46081,4
46083,5
46089,1
46091,1
46093,4
46099,9
46101,1
46102,1
46103,7
46107,1
46109,1
46115,1
46121,1
46123,1
46125,1
46127,1
46129,1
46135,3
46137,1
47001,1
47003,2
47005,1
47007,1
47009,2
47011,3
47013,2
47015,1
47017,3
47019,1
47021,1
47025,1
47027,1
47029,1
47031,4
47035,1
47037,19
47039,1
47041,1
47043,1
47045,1
47047,1
47049,1
