fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,cervical_cancer_incidence_rate_per_100000,cervical_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,melanoma_cancer_incidence_rate_per_100000,melanoma_cancer_mortality_rate_per_100000,colorectal_screening_percent,smoking_percent,hpv_vaccine_percent
46,459.1,156.86,128.3,18.95,7.3,1.69,41.8,15.69,59.0,39.29,114.8,19.16,25.4,2.7,75.16,44.17,34.7
47,463.3,177.36,122.6,21.95,8.4,2.73,40.0,15.05,74.5,51.29,111.5,19.67,20.3,2.74,75.55,45.49,26.3
48,407.7,148.78,112.8,19.84,9.2,2.88,37.6,13.92,50.6,34.12,94.0,17.62,13.1,1.92,67.37,36.08,29.8
49,402.3,123.86,114.4,20.06,5.4,1.35,29.8,10.94,26.0,18.06,112.8,20.38,40.4,2.91,74.72,24.95,32.1
50,454.4,162.79,131.3,18.03,4.3,1.05,34.4,14.63,61.1,41.45,87.1,19.65,37.6,2.37,79.16,44.05,38.5
51,416.1,155.68,127.4,21.46,6.0,1.86,35.2,13.62,56.4,38.79,99.6,19.73,20.2,2.31,75.17,37.78,39.9
53,446.2,151.91,134.3,19.71,6.7,1.58,35.5,12.11,54.0,35.47,98.7,20.33,26.1,2.58,79.73,38.11,32.7
54,478.9,184.3,117.5,21.94,9.2,2.7,46.5,17.48,79.8,53.55,92.1,16.98,21.4,2.97,74.03,49.54,30.3
55,464.5,157.27,131.5,18.85,6.4,1.61,36.6,12.79,59.1,38.55,109.3,20.65,24.0,2.42,80.01,42.72,37.7
56,400.6,139.45,112.5,18.23,6.4,1.91,32.5,11.97,42.2,30.9,108.1,16.91,22.9,3.24,66.96,45.14,24.5
