fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi
1021,429.61700340098525,166.83,104.4287007373099,19.44,41.7,16.56,11.6,6.63,63.6,45.74,14.9,4.675681746533869,115.3,16.01347697794261,,32.6,4529.0,4.369543798547304,3.5,27.32008970031939,12.424400299001064,11.654246041633632,20.07837452148504,4.714284088242795,67.95478741477338,
1023,443.2,150.84592748038258,125.8,17.19989534255591,55.6,17.54,10.239413048750952,6.326833251372544,54.84555590109751,39.12566086841053,12.697543891610987,4.675681746533869,154.5,16.01347697794261,,35.3,4476.0,13.045674291074391,0.3,29.392395139161117,12.567620540964327,9.980399843198745,43.5515484123873,3.943760357011625,196.0015680125441,
1025,474.3,169.86,153.6,15.92,65.6,22.24,10.6,10.1,58.0,39.58,14.5,4.675681746533869,134.6,31.81,,33.4,4488.0,18.35249487090156,0.3,34.57219475404341,12.167937651889718,9.532389172881924,47.74574708790748,5.208594743011768,477.6669739378195,
1027,468.5,177.71,118.5,17.19989534255591,58.2,19.697729027545925,10.239413048750952,6.326833251372544,85.3,55.47,12.697543891610987,4.675681746533869,138.5,16.01347697794261,,34.8,4518.0,2.9715762273901807,0.1,27.73805043281897,13.21791494166353,8.340233345878811,19.58599924727136,4.29082573380752,398.9461799021453,42.0
1029,457.4,150.84592748038258,104.4287007373099,17.19989534255591,59.0,22.63,19.5,6.326833251372544,75.7,50.11,18.0,4.675681746533869,101.2,16.01347697794261,,34.2,4486.0,2.023777718407694,1.0,26.86597110754414,12.55350454788657,11.97833065810594,7.403691813804174,4.601274155440889,,
1031,429.61700340098525,170.98,120.9,20.91,43.37105729200139,11.31,11.7,6.27,65.7,54.42,17.5,5.69,125.0,19.15,53155.0,32.4,4628.0,8.9933530872107,2.6,24.5223783452659,9.87403805658716,10.20521459473946,30.38018300853785,6.013677663454804,250.7752976760213,
1033,437.8,179.11,110.9,24.51,49.3,18.66,11.1,8.42,67.9,53.92,12.697543891610987,4.675681746533869,89.7,13.27,47558.0,34.6,4408.0,8.830013963401191,1.1,23.25272485761596,10.171588696617356,6.774387248212238,21.982640973852284,6.484799828728782,696.9084920938188,47.0
1035,457.5,181.98,145.3,17.19989534255591,42.1,19.697729027545925,10.239413048750952,6.326833251372544,77.9,52.18,12.697543891610987,4.675681746533869,99.54602668056066,16.01347697794261,,33.7,4551.0,13.297550650136076,0.0,34.77371306980931,10.868319829773304,10.336361404370244,49.93862018168426,4.647341644025092,474.6705949750389,
1037,429.61700340098525,165.85,104.4287007373099,17.19989534255591,43.37105729200139,19.697729027545925,10.239413048750952,6.326833251372544,54.84555590109751,44.4,12.697543891610987,4.675681746533869,88.4,16.01347697794261,,39.4,4545.0,7.71297339457492,0.5,23.16753926701571,13.032909498878084,6.666043380703067,35.26551982049364,3.447059726745463,,
1039,482.2,190.96,131.7,18.34,52.6,18.78,15.1,6.86,79.2,62.72,15.5,4.675681746533869,92.1,17.75,,33.5,4597.0,5.475969813319211,0.3,27.501617425059305,10.416217381927972,10.58335130472288,16.877830493853786,5.199191454070574,566.0987707569549,
